EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
0.0,78.76923076923077,-10.158155711198289,13,-637.8767999519522,13,0.0,23.5781831741333,1024,0.0,2.836739,-0.001020669937133789,0.000829011,0.013296634,0.013296634
0.0,73.14285714285714,-10.994104951422182,15,-634.1640362401625,28,0.0,45.686338901519775,2048,0.0,2.8407614,-0.0003947019577026367,0.0008825855,0.008803022,0.008803022
0.0,74.05,-11.098723752812857,14,-643.4236633840949,42,0.0,67.32036638259888,3072,0.0,2.8423154,-0.0013412237167358398,0.00091011263,0.010021975,0.010021975
0.0,77.375,-10.605955751654584,10,-630.4497751155868,52,0.0,88.63618969917297,4096,0.0,2.8347445,0.0006580352783203125,0.000810308,0.008660506,0.008660506
0.0,79.375,-10.252352073638344,13,-656.8815997635945,65,0.0,109.99872398376465,5120,0.0,2.8448484,0.0001418590545654297,0.00090168626,0.008070674,0.008070674
0.0,84.075,-9.830654287270779,13,-659.1465772142634,78,0.0,131.11826586723328,6144,0.0,2.8463738,-0.0006095170974731445,0.0009043529,0.008253478,0.008253478
0.0,72.55,-11.276275205799852,15,-660.4956155331805,93,0.0,152.59283185005188,7168,0.0,2.8371866,-0.0005390644073486328,0.00093267934,0.009786528,0.009786528
0.0,76.8,-11.412216406403346,12,-674.4009194236248,105,0.0,173.9286994934082,8192,0.0,2.837411,0.00014024972915649414,0.0009130061,0.009885115,0.009885115
0.0,74.675,-11.979519522602164,15,-675.314436249435,120,0.0,195.22907137870789,9216,0.0,2.8305333,-0.0016705989837646484,0.0009256967,0.009295977,0.009295977
0.0,83.8,-11.159953451844297,10,-670.24816706758,130,0.0,216.4424273967743,10240,0.0,2.8319724,0.00019735097885131836,0.0009436499,0.012032458,0.012032458
0.0,91.5,-10.276303491216096,10,-656.3330878520385,140,0.0,237.7135009765625,11264,0.0,2.8297117,-0.0001577138900756836,0.00094020483,0.007152658,0.007152658
0.0,97.25,-9.192456303842672,9,-625.1690205961465,149,0.0,259.0512397289276,12288,0.0,2.822662,-0.0016492605209350586,0.00094001694,0.007454367,0.007454367
0.0,92.55,-9.235582972706188,13,-622.6495650250465,162,0.0,280.4520757198334,13312,0.0,2.8290184,-0.0007756948471069336,0.0008711337,0.010028539,0.010028539
0.0,104.625,-7.791484889655033,7,-580.6357588849962,169,0.0,301.4757993221283,14336,0.0,2.8267825,0.00010442733764648438,0.00094659254,0.008522363,0.008522363
0.0,109.95,-7.9279103184411825,8,-553.4639819193632,177,0.0,322.9545428752899,15360,0.0,2.8321512,-0.0008747577667236328,0.0008454738,0.009675896,0.009675896
0.0,116.1,-7.571845947822735,8,-557.4157094707713,185,0.0,344.31683111190796,16384,0.0,2.8280637,-0.0012983083724975586,0.00092286465,0.008314631,0.008314631
0.0,119.9,-7.672359218957479,7,-569.2043946282938,192,0.0,365.30477952957153,17408,0.0,2.8235142,0.0006578564643859863,0.00091438176,0.009362619,0.009362619
0.0,130.025,-6.591289380975818,8,-540.1788710745052,200,0.0,386.6845941543579,18432,0.0,2.8153906,-0.0006082057952880859,0.0008945916,0.0073217293,0.0073217293
0.0,128.0,-7.367674694062532,9,-585.8573370907455,209,0.0,408.1317286491394,19456,0.0,2.8022988,-4.2438507080078125e-05,0.0010007471,0.011337422,0.011337422
0.0,120.5,-6.961388572981223,10,-593.9947105003521,219,0.0,429.2551453113556,20480,0.0,2.8047264,-0.005297183990478516,0.0009320068,0.008857621,0.008857621
0.0,108.475,-8.149123352078481,11,-600.2106133937835,230,0.0,450.4896945953369,21504,0.0,2.7983425,-0.0015437602996826172,0.0009498967,0.009587644,0.009587644
0.0,108.025,-7.862102042350787,7,-594.8249834090471,237,0.0,471.7346270084381,22528,0.0,2.7959287,-0.00015604496002197266,0.0009401297,0.009952934,0.009952934
0.0,118.95,-7.6652345139743145,6,-585.5350832495839,243,0.0,492.9153175354004,23552,0.0,2.793516,1.4901161193847656e-05,0.0009833849,0.010730717,0.010730717
0.0,123.8,-7.630562406724363,7,-590.0776973245665,250,0.0,514.1732785701752,24576,0.0,2.7951558,-2.2292137145996094e-05,0.000969038,0.010178697,0.010178697
0.0,128.0,-7.459825066102539,9,-593.0224083783105,259,0.0,535.2518925666809,25600,0.0,2.7941978,-0.0032312870025634766,0.00096451765,0.012539746,0.012539746
0.0,130.975,-6.7353048367663835,9,-571.139053228125,268,0.0,556.6347522735596,26624,0.0,2.79543,-0.000742793083190918,0.00096159376,0.009393063,0.009393063
0.0,128.0,-7.419526250491967,9,-621.2956872981042,277,0.0,577.9818725585938,27648,0.0,2.7889621,-5.650520324707031e-05,0.0009234712,0.011081031,0.011081031
0.0,119.3,-7.498984834669299,8,-627.9536238878966,285,0.0,599.3268494606018,28672,0.0,2.7838528,-0.003384113311767578,0.0010383651,0.010697595,0.010697595
