# {"t_start": 1565275176.0168588, "env_id": "highway-discrete-v0"} 
r,l,t
-614.620976,39,2.87345
-640.212833,82,4.493757
-615.082118,24,4.992069
-622.096136,40,5.801841
-616.486993,28,6.377434
-606.049276,27,6.921546
-642.97502,65,8.216757
-611.682378,59,9.420802
-603.310791,28,10.03372
-633.540904,63,11.413769
-610.088937,30,12.084383
-608.41945,25,12.648537
-635.530164,73,14.24666
-608.073308,26,14.839756
-628.71898,76,16.506204
-625.950684,53,17.664869
-651.215938,124,20.508106
-636.905049,65,21.82172
-639.598429,75,23.325791
-614.658815,23,24.676801
-611.049161,46,25.606415
-604.609175,20,26.013309
-695.945533,203,30.18972
-633.737383,76,31.698185
-622.041335,53,32.753654
-633.213523,58,33.908631
-610.339992,32,34.556235
-608.949655,31,35.185991
-630.063359,71,36.64254
-635.405668,78,38.213094
-639.507401,101,40.277914
-611.846398,63,41.545968
-612.400425,44,42.439121
-607.896627,36,43.157489
-649.385345,112,47.340501
-616.464902,29,47.925949
-616.628998,41,48.744262
-603.225947,15,49.05181
-609.882835,20,49.453464
-604.224884,23,49.918338
-616.862858,38,50.673813
-636.404778,88,52.430308
-652.535869,106,54.512628
-621.031573,40,55.317078
-622.012612,68,56.675289
-618.399412,58,57.829284
-604.10389,25,58.338883
-618.885663,47,59.340818
-608.462751,20,59.786257
-622.949368,49,60.857536
-608.395917,16,61.226564
-621.257521,41,62.131779
-644.694071,76,63.803969
-618.717853,54,64.990044
-611.436303,38,65.831777
-619.359694,39,67.271833
-641.725889,82,69.07346
-605.935865,27,69.681081
-669.170735,125,72.463227
-604.316933,24,72.999561
-656.227615,95,75.113789
-642.17597,105,77.419992
-624.067326,47,78.467795
-608.869651,32,79.173368
-619.261759,36,79.967429
-612.781442,37,80.796807
-650.438704,95,82.922907
-640.476312,76,84.608632
-629.260731,71,86.149152
-666.920958,127,88.989924
-703.016694,234,94.46176
-693.240505,176,98.467626
-612.232786,36,99.263511
-612.061528,18,99.645977
-613.849719,49,100.621478
-632.613134,80,102.231554
-606.611644,29,102.814699
-618.194106,47,103.75869
-609.591659,28,104.328702
-610.169731,30,104.932341
-605.249427,26,105.452044
-613.556529,47,106.386202
-644.379371,104,108.427527
-609.666759,34,111.660138
-605.776543,16,111.990569
-732.40201,252,116.928437
-604.434098,27,117.487976
-615.656634,30,118.087473
-635.164047,70,119.493572
-611.724807,34,120.175729
-649.570998,91,121.992256
-618.987251,55,123.090126
-630.212418,80,124.66655
-647.048887,126,127.214128
-610.098219,37,127.956345
-640.489902,94,129.853554
-609.428536,29,132.104199
-697.445446,194,135.936212
-617.017621,41,136.761108
-601.870218,17,137.119927
-691.920028,193,140.993549
-629.923382,70,142.415291
-618.351123,62,143.668336
-614.848035,24,144.149027
-611.471902,21,144.579534
-628.55336,72,146.013196
-654.364591,130,148.576347
-618.233786,47,149.501454
-629.598138,80,151.123104
-617.049383,27,151.664903
-624.312728,51,153.139172
-623.338909,70,154.521401
-697.06972,216,158.727241
-604.554678,23,159.201311
-647.943215,107,161.387776
-638.686703,86,163.121832
-619.683085,42,163.968421
-660.134153,143,166.797295
-620.364929,46,167.70635
-660.890969,107,169.846805
-642.44202,86,171.56746
-642.140587,87,174.37119
-656.838829,114,176.694255
-609.750749,39,177.483454
-619.953846,58,178.66156
-604.395175,20,179.071198
-617.533309,58,180.228413
-618.232199,45,181.115425
-613.151948,56,182.236914
-616.169632,51,183.255736
-685.602075,168,186.609042
-621.867539,72,188.086067
-666.036189,96,190.053061
-626.00595,53,191.102511
-609.730383,45,191.996068
-605.476293,25,192.51099
-604.899142,23,193.855451
-606.124562,25,194.362833
-611.920297,48,195.310321
-630.914047,92,197.122256
-649.906504,95,199.043618
-650.574063,116,201.362061
-701.779103,243,206.295782
-630.622472,87,208.068395
-614.756806,45,209.011871
-614.116443,29,209.600813
-614.718044,53,210.646077
-620.60831,48,211.596136
-659.758065,111,213.825517
