EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
0.0,51.2,-14.092556547993174,20,-592.9124192189629,20,0.0,22.083847999572754,1024,0.0,1.6086781,-0.0006014108657836914,0.000759405,0.01286475,0.01286475
0.0,56.888888888888886,-12.84018071578727,16,-591.1635031594035,36,0.0,43.020453214645386,2048,0.0,1.6079698,-0.0003281831741333008,0.0006844459,0.01091723,0.01091723
0.0,53.625,-14.765817244583985,22,-577.5316991033221,58,0.0,64.34440493583679,3072,0.0,1.606451,2.0503997802734375e-05,0.0006850353,0.011290332,0.011290332
0.0,54.325,-14.415356848995733,16,-579.5382437111344,74,0.0,87.20366477966309,4096,0.0,1.6022153,0.0010592937469482422,0.00080539193,0.012229624,0.012229624
0.0,60.85,-13.815699586869039,14,-581.9841491250758,88,0.0,108.91894292831421,5120,0.0,1.6032357,0.0006807446479797363,0.0006820073,0.009479351,0.009479351
0.0,69.975,-12.872909407717822,14,-585.3734599377524,102,0.0,129.45415902137756,6144,0.0,1.6009759,-0.00016188621520996094,0.0007615698,0.011254709,0.011254709
0.0,65.65,-14.18818468427545,15,-582.4029795610113,117,0.0,150.06840205192566,7168,0.0,1.5994158,-0.00031304359436035156,0.00086202496,0.011540567,0.011540567
0.0,75.95,-12.180194680672093,12,-588.3660016917377,129,0.0,170.556396484375,8192,0.0,1.5788072,0.005131363868713379,0.00093428313,0.012978572,0.012978572
0.0,70.2,-11.716084034185041,16,-585.4292482744262,145,0.0,191.3157467842102,9216,0.0,1.5932051,7.766485214233398e-05,0.0008333366,0.012930767,0.012930767
0.0,73.775,-10.882988830663527,14,-586.5711550243941,159,0.0,212.0740451812744,10240,0.0,1.5946589,-0.001056671142578125,0.00078515126,0.010915041,0.010915041
0.0,76.8,-10.547073395371353,10,-587.3747185838336,169,0.0,232.78674459457397,11264,0.0,1.5908152,0.0005553364753723145,0.00071790477,0.013165562,0.013165562
0.0,76.8,-10.418267715562951,16,-588.0054050267187,185,0.0,255.57751631736755,12288,0.0,1.5945723,6.109476089477539e-05,0.0007241401,0.011063455,0.011063455
0.0,81.0,-9.197859418799078,11,-576.6572506164048,196,0.0,277.2704360485077,13312,0.0,1.5909781,0.000699460506439209,0.0007639718,0.01311099,0.01311099
0.0,88.975,-8.808803187531614,9,-565.7476497561111,205,0.0,297.82490706443787,14336,0.0,1.5917319,-0.0015932321548461914,0.0007503553,0.010257756,0.010257756
0.0,90.15,-9.183530766988412,13,-552.6214710678663,218,0.0,318.68253898620605,15360,0.0,1.582579,-0.00016045570373535156,0.0008194449,0.011696225,0.011696225
0.0,96.55,-8.599118774018487,9,-540.147472056802,227,0.0,340.60988903045654,16384,0.0,1.5820352,-0.0032519102096557617,0.00085677986,0.011557572,0.011557572
0.0,101.55,-8.16360604992641,10,-526.4743176513703,237,0.0,361.3204345703125,17408,0.0,1.586025,-0.0011080503463745117,0.00084035005,0.01172643,0.01172643
0.0,102.4,-8.268066073780712,8,-526.8918757925045,245,0.0,382.0167899131775,18432,0.0,1.5791674,0.00537031888961792,0.00085384806,0.011098672,0.011098672
